Drug,Solvent,Drug SMILES,Solvent SMILES,Temperature,Solubility_log10,Solubility Unit
Glucose,tert-Pentyl alcohol,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,CCC(C)(C)O,40,-2.381783346,mol/L
Glucose,tert-Pentyl alcohol,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,CCC(C)(C)O,60,-2.034995917,mol/L
d(-)-p-Hydroxyphenylglycine dane salt,Acetone,CC(=CC(=O)OC)NC(C1=CC=C(C=C1)O)C(=O)O.[K],CC(=O)C,70.2,-1.843451394,mol/L
Diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,25,-0.367650413,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,5.05,-2.848476626,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,10.01,-2.768864415,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,15.01,-2.684201518,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,20.02,-2.612886501,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,25.03,-2.561778942,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,30.02,-2.525786213,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,35.06,-2.48681917,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,40.05,-2.448363759,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,45.03,-2.416302584,mol/L
Dioxopromethazine HCl,Acetone,CN(C=O)C(CN1C2=CC=CC=C2SC3=CC=CC=C31)C=O.Cl,CC(=O)C,50.02,-2.386008156,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,20,-1.736506976,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,22,-1.692980407,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,25,-1.627197228,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,27,-1.563410681,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,30,-1.458440275,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,32,-1.423586726,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,35,-1.364030808,mol/L
Enrofloxacin sodium,Acetone,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C(=O)[O-])C4CC4)F.[Na+],CC(=O)C,37,-1.319097527,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,13.2,-2.692480857,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,18.9,-2.593578202,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,23.4,-2.444123437,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,28.3,-2.259829469,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,31.9,-2.215464653,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,37.6,-2.06885413,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,41.6,-1.999422035,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,45,-1.955358772,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,48.3,-1.867057858,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,51.3,-1.813593743,mol/L
Erythritol,Acetone,C(C(C(CO)O)O)O,CC(=O)C,55.2,-1.743580086,mol/L
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,20.05,-0.896002723,mol/L
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,24.85,-0.737938474,mol/L
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,30,-0.51494894,mol/L
